"date","stop_id","entries","exits","hour"
2025-04-02,1,2116,4537,2
2025-04-02,2,574,5477,5
2025-04-02,3,5481,244,6
2025-04-02,4,4352,4715,12
2025-04-02,5,1884,5726,1
2025-04-02,6,700,1062,2
2025-04-02,7,3477,3172,20
2025-04-02,8,4201,3337,11
2025-04-02,9,5163,2945,11
2025-04-02,10,4911,2021,23
2025-04-02,11,4708,3601,0
2025-04-02,12,5057,3588,0
2025-04-02,13,2621,893,14
2025-04-02,14,343,3680,12
2025-04-02,15,3291,4326,10
2025-04-02,16,3660,4926,14
2025-04-02,17,5121,5897,21
2025-04-02,18,3306,1470,20
2025-04-02,19,5004,1285,21
2025-04-02,20,1684,4624,8
2025-04-02,21,1118,4139,0
2025-04-02,22,2158,1156,14
2025-04-02,23,483,467,16
2025-04-02,24,2752,570,5
2025-04-02,25,2646,550,0
2025-04-02,26,4149,3524,14
2025-04-02,27,3837,838,10
2025-04-02,28,5741,3876,10
2025-04-02,29,4282,1545,18
2025-04-02,30,2516,3438,11
2025-04-02,31,1966,4587,7
2025-04-02,32,5459,1104,21
2025-04-02,33,3123,4769,17
2025-04-02,34,1469,2585,11
2025-04-02,35,5093,1410,17
2025-04-02,36,884,4452,1
2025-04-02,37,5114,730,11
2025-04-02,38,5075,5797,3
2025-04-02,39,4785,175,18
2025-04-02,40,5894,5773,9
2025-04-02,41,2447,3399,22
2025-04-02,42,5049,5717,17
2025-04-02,43,5011,1799,0
2025-04-02,44,4909,4694,22
2025-04-02,45,3957,2886,23
2025-04-02,46,1049,1649,12
2025-04-02,47,1798,4877,9
2025-04-02,48,1912,1325,20
2025-04-02,49,2689,2620,10
2025-04-02,50,2328,2482,9
2025-04-02,51,3725,975,14
2025-04-02,52,4482,1307,19
2025-04-02,53,5400,3254,11
2025-04-02,54,464,3079,14
2025-04-02,55,5336,1996,21
2025-04-02,56,5179,5705,5
2025-04-02,57,5616,2969,23
2025-04-02,58,649,5462,22
2025-04-02,59,4155,2756,11
2025-04-02,60,3031,1267,22
2025-04-02,61,4518,2024,17
2025-04-02,62,4694,5246,14
2025-04-02,63,2961,2087,21
2025-04-02,64,469,1783,20
2025-04-02,65,1758,2136,21
2025-04-02,66,636,1986,13
2025-04-02,67,5778,3870,2
2025-04-02,68,607,2387,2
2025-04-02,69,3762,850,4
2025-04-02,70,4192,705,21
2025-04-02,71,3815,463,8
2025-04-02,72,368,1098,13
2025-04-02,73,1278,5427,3
2025-04-02,74,4553,4744,21
2025-04-02,75,2109,5012,17
2025-04-02,76,4345,1110,5
2025-04-02,77,3191,1328,1
2025-04-02,78,4718,4717,6
2025-04-02,79,1995,5695,18
2025-04-02,80,3636,2794,11
2025-04-02,81,3290,4032,3
2025-04-02,82,524,1393,4
2025-04-02,83,3635,1780,2
2025-04-02,84,204,4488,5
2025-04-02,85,1158,3979,1
2025-04-02,86,5802,5476,20
2025-04-02,87,3349,1515,9
2025-04-02,88,2107,906,13
2025-04-02,89,4917,2261,14
2025-04-02,90,3836,920,2
2025-04-02,91,2314,3908,14
2025-04-02,92,910,3884,6
2025-04-02,93,3489,3377,16
2025-04-02,94,901,5777,2
2025-04-02,95,1479,3542,8
2025-04-02,96,5623,5302,21
2025-04-02,97,151,1501,4
2025-04-02,98,4792,831,18
2025-04-02,99,653,5412,17
2025-04-02,100,501,594,3
2025-04-03,1,3432,3438,6
2025-04-03,2,4734,2829,21
2025-04-03,3,2922,494,3
2025-04-03,4,5302,886,0
2025-04-03,5,1252,810,22
2025-04-03,6,5476,4373,13
2025-04-03,7,5148,2374,14
2025-04-03,8,1085,1704,6
2025-04-03,9,364,1281,11
2025-04-03,10,4640,5768,12
2025-04-03,11,1010,2630,19
2025-04-03,12,1166,381,3
2025-04-03,13,5640,3309,3
2025-04-03,14,5434,1958,22
2025-04-03,15,228,208,4
2025-04-03,16,979,936,19
2025-04-03,17,4989,2282,12
2025-04-03,18,236,4820,1
2025-04-03,19,1774,986,13
2025-04-03,20,2787,859,9
2025-04-03,21,5594,2113,3
2025-04-03,22,5195,1435,18
2025-04-03,23,742,3678,4
2025-04-03,24,4414,2238,16
2025-04-03,25,4363,3524,14
2025-04-03,26,3798,4019,8
2025-04-03,27,4626,866,7
2025-04-03,28,5457,3258,17
2025-04-03,29,1198,4269,9
2025-04-03,30,3166,3288,5
2025-04-03,31,3236,954,9
2025-04-03,32,5338,973,13
2025-04-03,33,3311,5876,22
2025-04-03,34,1006,1941,21
2025-04-03,35,3425,1058,9
2025-04-03,36,5260,2834,16
2025-04-03,37,3575,3085,9
2025-04-03,38,5912,1441,11
2025-04-03,39,3208,1885,20
2025-04-03,40,5637,1308,13
2025-04-03,41,4219,3576,5
2025-04-03,42,5981,3315,0
2025-04-03,43,5297,5522,2
2025-04-03,44,4107,5895,9
2025-04-03,45,4507,4590,21
2025-04-03,46,1290,2716,15
2025-04-03,47,4734,5434,6
2025-04-03,48,484,1848,8
2025-04-03,49,1717,5075,21
2025-04-03,50,4113,2733,15
2025-04-03,51,3191,2241,8
2025-04-03,52,2644,3002,9
2025-04-03,53,5458,1743,11
2025-04-03,54,329,1218,16
2025-04-03,55,2621,1286,15
2025-04-03,56,1225,2923,1
2025-04-03,57,232,694,10
2025-04-03,58,2204,4628,16
2025-04-03,59,702,668,14
2025-04-03,60,5301,446,4
2025-04-03,61,1979,4690,18
2025-04-03,62,3786,676,4
2025-04-03,63,5841,4625,22
2025-04-03,64,5832,1457,7
2025-04-03,65,5755,3407,21
2025-04-03,66,2955,1481,6
2025-04-03,67,3449,4254,15
2025-04-03,68,2561,2875,17
2025-04-03,69,5913,3110,7
2025-04-03,70,2947,273,2
2025-04-03,71,152,953,5
2025-04-03,72,268,5631,0
2025-04-03,73,3021,5031,19
2025-04-03,74,4154,3013,3
2025-04-03,75,4355,444,4
2025-04-03,76,1515,2861,15
2025-04-03,77,1904,2030,20
2025-04-03,78,5618,5736,8
2025-04-03,79,4866,5112,5
2025-04-03,80,381,2068,8
2025-04-03,81,5199,5539,17
2025-04-03,82,3368,4017,17
2025-04-03,83,2611,1584,4
2025-04-03,84,4368,4674,9
2025-04-03,85,650,2809,6
2025-04-03,86,3788,5727,21
2025-04-03,87,4670,4106,13
2025-04-03,88,3857,2867,14
2025-04-03,89,3569,1501,7
2025-04-03,90,787,5452,4
2025-04-03,91,4058,2333,17
2025-04-03,92,3190,1472,23
2025-04-03,93,4123,158,21
2025-04-03,94,1098,5158,21
2025-04-03,95,584,3134,8
2025-04-03,96,3526,2106,16
2025-04-03,97,3712,3765,8
2025-04-03,98,1083,5122,14
2025-04-03,99,3715,1309,21
2025-04-03,100,1544,3739,22
2025-04-04,1,1397,4051,21
2025-04-04,2,2231,3074,23
2025-04-04,3,1844,3633,15
2025-04-04,4,5385,3321,17
2025-04-04,5,1455,5949,21
2025-04-04,6,4908,5470,4
2025-04-04,7,4778,1547,20
2025-04-04,8,2186,728,2
2025-04-04,9,2342,449,10
2025-04-04,10,371,5346,23
2025-04-04,11,536,2989,13
2025-04-04,12,5378,3326,22
2025-04-04,13,750,5135,15
2025-04-04,14,1899,396,0
2025-04-04,15,5770,1521,20
2025-04-04,16,3823,4098,14
2025-04-04,17,4111,4086,19
2025-04-04,18,1273,2641,12
2025-04-04,19,4899,2606,3
