"trip_id","stop_sequence","stop_id","arrival_time","departure_time"
1,1,99,"11:49:58","13:2:51"
1,2,94,"14:33:26","14:24:21"
1,3,100,"12:21:8","15:29:50"
1,4,85,"22:7:4","22:25:2"
1,5,7,"18:1:55","21:34:19"
2,1,58,"8:1:47","18:54:23"
2,2,34,"20:40:5","20:30:46"
2,3,73,"16:11:16","5:19:11"
2,4,14,"7:15:33","20:48:11"
2,5,2,"8:23:42","20:50:51"
3,1,88,"10:32:27","8:45:34"
3,2,45,"8:46:26","11:6:32"
3,3,63,"14:59:35","16:6:27"
3,4,22,"9:42:30","23:30:13"
3,5,11,"23:40:45","23:2:36"
4,1,85,"19:17:31","17:46:49"
4,2,100,"14:30:38","21:41:16"
4,3,56,"14:5:48","13:19:37"
4,4,12,"17:50:10","20:50:58"
4,5,93,"13:16:38","16:59:29"
5,1,43,"19:56:53","22:21:14"
5,2,1,"13:23:14","12:2:43"
5,3,92,"6:20:6","7:57:18"
5,4,7,"8:31:23","20:14:23"
5,5,85,"10:50:59","12:37:22"
6,1,97,"23:16:24","16:50:20"
6,2,12,"21:21:54","22:0:34"
6,3,9,"9:36:48","9:32:3"
6,4,80,"22:3:50","12:43:59"
6,5,11,"11:26:41","17:12:17"
7,1,37,"20:55:6","16:47:59"
7,2,71,"16:28:17","10:12:8"
7,3,43,"13:40:56","5:45:19"
7,4,66,"11:33:18","6:43:34"
7,5,24,"15:36:57","23:46:4"
8,1,54,"7:46:45","8:30:12"
8,2,21,"8:39:50","19:56:16"
8,3,96,"23:34:40","10:24:47"
8,4,55,"16:26:16","18:56:42"
8,5,80,"14:10:57","12:59:6"
9,1,14,"17:35:49","21:36:37"
9,2,79,"23:18:51","12:58:40"
9,3,5,"20:40:57","15:12:38"
9,4,94,"22:0:41","10:4:33"
9,5,34,"20:28:24","14:19:23"
10,1,88,"16:25:2","16:55:44"
10,2,43,"17:18:29","18:47:1"
10,3,85,"14:20:47","23:35:39"
10,4,96,"14:1:40","17:1:49"
10,5,83,"18:28:36","15:17:47"
11,1,31,"18:6:50","17:43:44"
11,2,61,"18:27:1","14:25:7"
11,3,91,"10:23:59","14:10:41"
11,4,95,"8:50:42","21:21:20"
11,5,31,"23:49:42","13:20:29"
12,1,63,"12:52:42","19:1:50"
12,2,48,"15:17:40","13:6:36"
12,3,87,"19:57:22","12:13:9"
12,4,17,"5:51:4","10:16:11"
12,5,75,"11:6:49","6:11:14"
13,1,47,"20:6:1","17:43:42"
13,2,28,"14:32:5","17:30:47"
13,3,98,"8:5:53","10:43:18"
13,4,25,"11:6:52","12:9:26"
13,5,83,"5:8:20","22:7:32"
14,1,3,"17:5:54","22:34:40"
14,2,79,"17:0:7","12:39:21"
14,3,71,"6:23:30","13:5:16"
14,4,85,"5:55:5","9:11:19"
14,5,27,"15:54:28","12:20:6"
15,1,19,"16:2:54","22:36:30"
15,2,38,"11:22:31","17:6:51"
15,3,24,"11:3:4","18:35:2"
15,4,97,"18:21:39","19:4:30"
15,5,65,"20:54:6","8:31:32"
16,1,62,"18:32:38","9:10:23"
16,2,92,"18:33:24","12:4:51"
16,3,65,"5:11:53","11:49:58"
16,4,66,"6:10:8","11:23:42"
16,5,62,"14:35:14","11:34:47"
17,1,89,"5:20:35","19:55:14"
17,2,48,"15:51:0","6:19:36"
17,3,33,"10:8:32","17:40:41"
17,4,67,"9:40:27","17:28:3"
17,5,36,"23:19:43","16:56:49"
18,1,66,"13:39:26","17:33:44"
18,2,87,"10:41:29","17:46:15"
18,3,88,"10:2:30","18:47:15"
18,4,77,"22:47:4","5:18:45"
18,5,23,"5:24:8","18:12:18"
19,1,7,"23:38:14","19:18:27"
19,2,22,"18:15:21","22:32:20"
19,3,8,"19:13:1","16:55:45"
19,4,4,"12:50:41","5:52:54"
19,5,20,"13:39:49","21:46:30"
20,1,57,"17:1:8","23:31:20"
20,2,15,"15:29:21","23:19:28"
20,3,52,"18:56:46","19:52:50"
20,4,76,"18:27:50","7:2:37"
20,5,41,"19:37:11","20:36:23"
21,1,62,"8:6:18","11:42:15"
21,2,43,"11:57:31","8:28:52"
21,3,90,"9:56:43","14:59:15"
21,4,34,"5:7:35","16:4:15"
21,5,98,"9:33:47","21:30:24"
22,1,93,"16:25:54","20:43:58"
22,2,46,"10:40:5","18:3:58"
22,3,41,"10:26:53","20:33:42"
22,4,56,"16:26:4","8:53:0"
22,5,34,"9:28:34","5:46:57"
23,1,69,"17:44:24","11:11:48"
23,2,36,"23:17:18","14:22:9"
23,3,23,"12:24:11","20:40:46"
23,4,95,"9:19:51","21:57:9"
23,5,68,"19:35:43","10:39:19"
24,1,23,"17:49:33","23:28:9"
24,2,86,"7:46:45","13:51:56"
24,3,42,"16:21:22","16:36:10"
24,4,56,"8:58:49","16:42:52"
24,5,67,"22:57:25","22:57:53"
25,1,94,"8:56:11","23:55:50"
25,2,61,"7:42:36","23:6:17"
25,3,38,"8:51:9","20:30:24"
25,4,30,"15:14:3","11:52:19"
25,5,47,"6:32:3","23:43:40"
26,1,53,"9:36:18","15:40:46"
26,2,20,"14:52:6","14:35:51"
26,3,27,"20:24:32","11:14:59"
26,4,75,"9:33:22","8:59:15"
26,5,12,"7:26:38","7:39:53"
27,1,33,"20:0:51","16:38:3"
27,2,29,"5:20:31","9:21:50"
27,3,13,"20:40:26","21:0:42"
27,4,64,"13:2:7","22:40:2"
27,5,88,"6:21:39","16:46:3"
28,1,51,"21:35:23","10:33:14"
28,2,74,"8:23:14","18:29:31"
28,3,11,"20:4:5","21:29:49"
28,4,12,"18:1:15","7:34:27"
28,5,68,"22:42:6","9:52:7"
29,1,17,"14:55:33","11:11:42"
29,2,1,"20:50:48","22:4:17"
29,3,67,"17:27:35","8:1:44"
29,4,25,"16:4:41","8:41:37"
29,5,7,"14:14:9","21:15:12"
30,1,95,"19:5:31","13:32:38"
30,2,83,"8:49:27","22:13:10"
30,3,45,"17:49:10","17:15:27"
30,4,63,"20:47:43","19:24:36"
30,5,24,"7:34:1","11:46:25"
31,1,23,"20:5:54","14:3:46"
31,2,99,"21:59:38","13:57:30"
31,3,45,"8:42:30","8:4:15"
31,4,63,"19:26:24","5:56:24"
31,5,23,"19:12:17","13:29:47"
32,1,47,"15:32:36","15:13:3"
32,2,100,"8:36:30","23:45:20"
32,3,52,"5:32:55","15:15:18"
32,4,27,"19:28:36","20:38:11"
32,5,83,"21:39:39","18:40:51"
33,1,32,"11:19:59","12:31:51"
33,2,60,"12:0:14","19:36:46"
33,3,47,"7:20:12","7:44:14"
33,4,28,"18:51:15","7:12:1"
33,5,12,"9:9:13","14:22:46"
34,1,27,"14:54:33","18:43:28"
34,2,97,"5:30:30","13:28:56"
34,3,21,"18:59:1","22:52:42"
34,4,64,"12:39:2","15:49:25"
34,5,62,"16:46:56","14:16:44"
35,1,93,"19:8:32","20:31:19"
35,2,85,"13:7:23","7:40:7"
35,3,51,"11:13:52","22:15:59"
35,4,97,"8:41:12","16:18:59"
35,5,16,"16:47:32","11:29:4"
36,1,93,"12:19:56","22:59:4"
36,2,82,"19:19:19","16:6:8"
36,3,85,"20:46:22","6:10:0"
36,4,83,"10:42:27","20:49:36"
36,5,80,"13:14:22","6:55:7"
37,1,64,"22:55:33","22:58:34"
37,2,61,"9:33:10","16:17:44"
37,3,72,"19:49:46","20:31:52"
37,4,38,"11:55:36","18:46:34"
37,5,30,"16:6:7","11:0:59"
38,1,26,"19:54:29","21:53:8"
38,2,66,"19:28:45","13:30:42"
38,3,33,"12:40:12","8:6:57"
38,4,77,"23:57:54","10:52:4"
38,5,69,"15:0:43","16:26:51"
39,1,56,"20:19:21","19:1:37"
39,2,91,"17:26:7","9:9:16"
39,3,14,"16:56:16","21:58:35"
39,4,90,"23:8:37","23:45:37"
39,5,71,"6:9:49","5:48:7"
40,1,46,"17:31:51","12:37:3"
40,2,28,"16:29:48","14:34:26"
40,3,26,"21:25:37","15:10:27"
40,4,99,"15:31:1","7:11:28"
40,5,84,"7:31:12","10:5:33"
41,1,78,"22:38:58","10:5:47"
41,2,13,"15:55:38","13:5:33"
41,3,83,"8:34:58","22:4:46"
41,4,91,"13:22:41","16:56:36"
41,5,44,"12:3:8","8:4:11"
42,1,7,"9:6:57","11:33:28"
42,2,90,"20:18:33","12:26:12"
42,3,17,"10:54:59","17:46:35"
42,4,29,"9:34:46","12:44:27"
42,5,91,"6:17:54","23:44:13"
