"trip_id","route_id","service_id"
1,3,1
2,1,1
3,4,5
4,5,1
5,6,5
6,2,5
7,1,5
8,5,2
9,6,4
10,4,4
11,6,5
12,9,5
13,4,2
14,7,3
15,5,1
16,10,1
17,2,5
18,9,4
19,5,2
20,1,1
21,4,5
22,3,1
23,5,1
24,5,2
25,4,4
26,5,5
27,7,1
28,10,5
29,1,4
30,10,5
31,9,2
32,10,5
33,1,4
34,8,2
35,5,5
36,9,4
37,8,4
38,6,3
39,10,2
40,4,4
41,9,2
42,4,1
43,7,2
44,7,3
45,3,3
46,6,5
47,9,3
48,4,4
49,10,3
50,6,3
51,5,4
52,1,2
53,5,3
54,7,5
55,4,2
56,1,2
57,3,1
58,3,5
59,7,4
60,1,3
61,7,5
62,6,1
63,6,5
64,6,5
65,9,1
66,7,2
67,1,5
68,3,1
69,7,4
70,4,2
71,8,2
72,2,5
73,3,5
74,8,2
75,10,3
76,4,2
77,3,3
78,6,1
79,1,5
80,1,2
81,2,2
82,8,3
83,10,1
84,8,1
85,2,3
86,8,1
87,1,2
88,8,5
89,10,5
90,10,5
91,10,2
92,6,3
93,9,1
94,9,4
95,9,1
96,6,1
97,2,1
98,7,5
99,2,3
100,5,2
101,4,5
102,9,5
103,9,4
104,2,1
105,5,2
106,7,1
107,2,2
108,5,5
109,3,1
110,7,4
111,4,3
112,3,5
113,1,3
114,6,1
115,3,3
116,4,3
117,5,2
118,1,1
119,2,5
120,9,4
121,2,2
122,10,2
123,6,2
124,1,3
125,8,3
126,1,2
127,8,5
128,7,5
129,8,1
130,1,3
131,4,4
132,9,4
133,2,4
134,4,2
135,1,5
136,10,1
137,9,3
138,4,4
139,10,3
140,8,4
141,3,3
142,4,5
143,6,4
144,10,4
145,4,5
146,5,1
147,9,3
148,8,5
149,3,1
150,9,3
151,8,1
152,5,5
153,6,2
154,2,5
155,6,4
156,6,5
157,7,3
158,4,4
159,9,3
160,9,5
161,5,5
162,2,2
163,8,3
164,2,3
165,7,5
166,3,4
167,1,5
168,2,3
169,7,2
170,7,3
171,4,1
172,2,2
173,5,1
174,8,1
175,10,5
176,1,4
177,3,2
178,1,2
179,5,5
180,4,3
181,6,5
182,5,2
183,9,5
184,4,1
185,5,5
186,10,5
187,1,5
188,10,2
189,7,5
190,10,1
191,3,5
192,7,4
193,4,5
194,6,3
195,3,4
196,1,1
197,3,2
198,3,2
199,7,5
200,10,5
201,5,3
202,2,4
203,5,4
204,6,5
205,1,3
206,9,2
207,1,3
208,8,3
209,5,2
210,6,4
211,3,2
212,7,4
213,1,4
214,1,1
215,10,5
216,4,5
217,7,3
218,2,5
219,1,3
220,5,1
221,3,3
222,1,4
223,8,3
224,5,5
225,3,1
226,9,1
227,9,1
228,8,2
229,9,5
230,6,1
231,9,2
232,6,2
233,10,4
234,6,5
235,3,3
236,6,2
237,8,1
238,6,1
239,10,5
240,5,4
241,4,3
242,4,3
243,8,5
244,8,1
245,4,5
246,4,2
247,10,2
248,1,1
249,2,5
250,9,1
251,10,5
252,1,3
253,6,1
254,1,3
255,7,5
256,2,1
257,4,3
258,1,5
259,5,4
260,9,4
261,8,3
262,5,5
263,10,1
264,5,1
265,5,2
266,1,1
267,5,2
268,5,3
269,6,5
270,10,2
271,5,5
272,10,1
273,3,5
274,9,2
275,4,4
276,6,5
277,10,3
278,5,3
279,4,2
280,4,3
281,6,4
282,4,2
283,5,4
284,3,5
285,2,5
286,7,1
287,3,4
288,3,5
289,2,4
290,10,3
291,1,4
292,10,2
293,3,4
294,10,2
295,3,4
296,9,3
297,9,5
298,6,1
299,9,1
300,5,4
301,9,1
302,7,5
303,2,3
304,8,2
305,4,5
306,5,5
307,7,2
308,3,3
309,6,1
310,1,4
311,10,5
312,10,3
313,6,3
314,6,1
315,5,3
316,6,1
317,6,2
318,1,5
319,5,1
320,8,5
321,7,5
322,3,2
323,3,1
324,5,3
325,2,4
326,9,1
327,5,3
328,2,1
329,5,5
330,9,1
331,6,3
332,1,5
333,10,4
334,3,1
335,6,1
336,4,2
337,5,1
338,1,2
339,8,1
340,9,2
341,9,3
342,6,3
343,7,4
344,3,2
345,6,3
346,1,2
347,4,4
348,7,2
349,7,3
350,6,5
351,7,2
352,3,2
353,1,1
354,4,2
355,7,4
356,9,4
357,2,3
358,7,4
359,1,3
360,6,5
361,7,2
362,6,1
363,8,3
364,5,4
365,7,3
366,4,2
367,1,1
368,1,1
369,10,2
370,10,5
371,6,1
372,10,1
373,2,1
374,2,3
375,4,3
376,6,4
377,9,2
378,6,2
379,6,5
380,10,4
381,2,4
382,5,3
383,4,3
384,10,1
385,5,5
386,2,1
387,2,1
388,8,4
389,8,3
390,6,4
391,1,4
392,8,2
393,10,1
394,7,5
