"date","stop_id","entries","exits","hour"
2025-04-02,1,3763,3332,21
2025-04-02,2,3079,2620,16
2025-04-02,3,2941,2526,23
2025-04-02,4,5927,1301,10
2025-04-02,5,3493,1249,15
2025-04-02,6,1293,2872,1
2025-04-02,7,5017,4709,6
2025-04-02,8,4891,4704,11
2025-04-02,9,1406,6734,6
2025-04-02,10,1577,4045,0
2025-04-02,11,3470,5917,23
2025-04-02,12,3715,3020,15
2025-04-02,13,3477,4611,9
2025-04-02,14,6176,5048,15
2025-04-02,15,962,308,9
2025-04-02,16,4912,6340,0
2025-04-02,17,6710,2719,23
2025-04-02,18,3434,2209,1
2025-04-02,19,3082,5669,22
2025-04-02,20,2945,5343,1
2025-04-02,21,5092,4613,4
2025-04-02,22,5589,985,16
2025-04-02,23,1631,5061,0
2025-04-02,24,5435,4932,0
2025-04-02,25,579,3610,3
2025-04-02,26,676,2785,10
2025-04-02,27,841,2037,10
2025-04-02,28,5396,2609,8
2025-04-02,29,4854,5164,4
2025-04-02,30,6548,1179,7
2025-04-02,31,6978,1145,6
2025-04-02,32,1352,4235,2
2025-04-02,33,2444,6971,7
2025-04-02,34,2218,4097,10
2025-04-02,35,2507,3679,8
2025-04-02,36,4977,2411,20
2025-04-02,37,3109,971,5
2025-04-02,38,5177,5870,7
2025-04-02,39,4632,5432,15
2025-04-02,40,6020,1253,11
2025-04-02,41,1105,5919,8
2025-04-02,42,2186,3750,12
2025-04-02,43,5553,788,23
2025-04-02,44,5267,6461,6
2025-04-02,45,3615,4203,22
2025-04-02,46,6102,4553,10
2025-04-02,47,6516,1015,23
2025-04-02,48,259,2752,3
2025-04-02,49,3348,3495,12
2025-04-02,50,2423,5672,2
2025-04-02,51,5268,3686,3
2025-04-02,52,3094,3445,1
2025-04-02,53,3994,5791,22
2025-04-02,54,3703,255,16
2025-04-02,55,4276,3693,3
2025-04-02,56,453,3187,2
2025-04-02,57,6354,5457,13
2025-04-02,58,6376,3682,23
