"trip_id","stop_sequence","stop_id","arrival_time","departure_time"
1,1,3,"13:3:19","11:18:44"
1,2,43,"23:59:1","18:29:23"
1,3,89,"7:38:8","16:51:41"
1,4,30,"8:13:6","17:5:8"
1,5,98,"18:1:22","11:31:51"
2,1,73,"23:15:58","11:46:13"
2,2,85,"14:55:19","6:47:20"
2,3,25,"10:41:25","6:7:13"
2,4,20,"12:55:44","12:7:44"
2,5,33,"21:58:18","12:19:7"
3,1,12,"7:51:0","11:40:10"
3,2,38,"18:14:28","18:1:10"
3,3,26,"23:32:35","17:58:56"
3,4,97,"6:54:31","11:47:40"
3,5,54,"17:18:12","5:59:7"
4,1,9,"10:44:25","18:47:59"
4,2,90,"11:15:4","5:59:46"
4,3,41,"15:46:0","22:38:11"
4,4,32,"22:38:47","5:9:42"
4,5,44,"18:56:59","7:38:22"
5,1,2,"13:50:27","12:6:11"
5,2,7,"13:11:40","8:28:26"
5,3,78,"20:21:11","10:8:35"
5,4,89,"21:30:6","13:31:32"
5,5,18,"7:13:58","22:46:30"
6,1,53,"8:59:19","5:4:6"
6,2,24,"12:21:52","6:16:40"
6,3,72,"15:50:9","14:1:41"
6,4,70,"21:44:44","20:28:22"
6,5,70,"9:37:27","12:56:25"
7,1,86,"6:47:53","16:52:14"
7,2,42,"6:29:30","9:19:40"
7,3,64,"16:51:44","6:45:26"
7,4,84,"20:38:32","18:2:12"
7,5,22,"16:22:55","19:44:16"
8,1,86,"9:31:22","11:53:19"
8,2,90,"8:49:15","11:41:33"
8,3,30,"12:31:24","10:0:9"
8,4,23,"20:42:31","9:59:26"
8,5,36,"16:39:33","21:21:16"
9,1,57,"7:36:40","17:28:36"
9,2,5,"23:44:27","9:58:25"
9,3,5,"5:37:38","13:36:19"
9,4,2,"20:23:20","16:2:24"
9,5,81,"17:27:41","8:33:1"
10,1,59,"21:8:52","16:42:45"
10,2,17,"6:12:25","9:41:44"
10,3,35,"15:23:3","11:23:33"
10,4,55,"12:38:15","11:13:14"
10,5,78,"21:11:4","7:4:33"
11,1,52,"13:57:34","17:38:51"
11,2,100,"18:5:40","17:6:19"
11,3,1,"20:24:49","8:32:0"
11,4,61,"7:18:30","20:15:0"
11,5,11,"14:28:10","7:5:35"
12,1,77,"23:8:56","14:46:8"
12,2,81,"9:0:16","7:20:33"
12,3,21,"5:29:8","16:5:15"
12,4,62,"11:49:15","17:0:58"
12,5,24,"8:0:21","9:40:26"
13,1,93,"6:22:9","16:30:45"
13,2,88,"15:33:40","21:41:22"
