"trip_id","route_id","service_id"
1,8,5
2,2,1
3,5,4
4,3,5
5,1,1
6,4,5
7,10,3
8,1,3
9,9,3
10,1,5
11,1,4
12,9,4
13,2,3
14,2,5
15,2,2
16,7,4
17,1,4
18,8,3
19,10,5
20,4,5
21,3,1
22,1,5
23,8,2
24,9,3
25,8,5
26,4,1
27,10,2
28,7,1
29,5,5
30,2,5
31,3,5
32,6,1
33,8,4
34,2,3
35,5,5
36,4,2
37,5,1
38,7,4
39,4,3
40,3,4
41,9,4
42,2,2
43,3,1
44,7,2
45,2,2
46,3,4
47,4,2
48,4,4
49,4,5
50,2,4
51,5,5
52,5,5
53,5,2
54,9,3
55,1,1
56,2,2
57,1,4
58,8,5
59,3,5
60,5,2
61,7,4
62,9,5
63,8,5
64,3,5
65,8,3
66,6,1
67,8,5
68,4,4
69,9,3
70,5,1
71,9,2
72,2,5
73,6,1
74,2,1
75,10,3
76,10,3
77,4,3
78,6,1
79,1,3
80,10,1
81,1,1
82,9,1
83,3,4
84,9,5
85,4,5
86,2,3
87,9,2
88,8,3
89,2,4
90,1,4
91,9,2
92,7,2
93,9,1
94,3,5
95,10,1
96,9,4
97,9,2
98,6,2
99,1,2
100,1,1
101,8,3
102,10,5
103,10,2
104,6,5
105,5,1
106,3,5
107,1,3
108,6,3
109,6,2
110,10,5
111,5,1
112,10,1
113,1,3
114,2,4
115,5,3
116,3,3
117,10,2
118,6,3
119,3,2
120,10,2
121,10,5
122,5,4
123,7,2
124,9,2
125,4,3
126,2,2
127,4,4
128,10,1
129,4,4
130,1,1
131,3,5
132,9,1
133,7,2
134,2,4
135,5,5
136,1,1
137,8,1
138,5,3
139,2,2
140,2,3
141,10,3
142,6,2
143,2,2
144,5,1
145,10,5
146,8,1
147,8,1
148,2,1
149,10,1
150,8,4
151,6,1
152,7,1
153,6,3
154,2,2
155,10,4
156,7,2
157,6,1
158,1,5
159,10,3
160,5,2
161,9,5
162,6,5
163,5,2
164,1,5
165,5,5
166,5,1
167,5,1
168,8,2
169,7,2
170,4,5
171,3,1
172,2,3
173,3,1
174,10,4
175,6,3
176,5,3
177,6,5
178,7,1
179,4,1
180,8,2
181,10,3
182,10,3
183,2,3
184,1,1
185,1,1
186,9,4
187,7,1
188,8,3
189,8,2
190,10,2
191,5,2
192,6,1
193,9,3
194,9,4
195,6,4
196,2,2
197,9,1
198,3,1
199,1,5
200,9,2
201,6,1
202,2,4
203,6,1
204,10,3
205,8,3
206,8,2
207,1,1
208,5,3
209,10,2
210,9,5
211,7,2
212,7,2
213,2,2
214,6,1
215,5,4
216,10,3
217,2,3
218,6,3
219,5,5
220,7,1
221,2,1
222,5,2
223,4,5
224,9,1
225,4,5
226,5,4
227,7,3
228,10,4
229,1,2
230,9,4
231,5,5
232,6,2
233,1,3
234,3,3
235,2,1
236,3,5
237,3,5
238,5,4
239,2,3
240,10,1
241,2,3
242,6,1
243,10,4
244,2,3
245,7,2
246,7,1
247,3,3
248,10,4
249,9,5
250,5,3
251,5,2
252,3,4
253,9,4
254,2,4
255,8,2
256,10,3
257,1,2
258,8,4
259,10,1
260,10,2
261,4,3
262,2,4
263,5,1
264,3,4
265,4,2
266,4,1
267,6,2
268,1,4
269,1,5
270,4,5
271,8,5
272,10,1
273,9,5
274,1,5
275,7,3
276,9,5
277,5,4
278,4,4
279,6,2
280,4,2
281,8,2
282,9,5
283,8,5
284,7,5
285,6,3
286,6,1
287,7,4
288,4,3
289,10,4
290,9,3
291,1,2
292,1,4
293,5,5
294,2,1
295,5,2
296,8,5
297,3,5
298,2,3
299,7,4
300,6,5
301,6,2
302,6,3
303,9,3
304,5,1
305,6,5
306,2,4
307,8,1
308,5,1
309,10,5
310,9,1
311,1,1
312,5,4
313,3,5
314,2,4
315,3,1
