"trip_id","stop_sequence","stop_id","arrival_time","departure_time"
1,1,97,"23:38:26","17:50:20"
1,2,94,"21:33:20","8:1:57"
1,3,40,"15:57:27","8:23:21"
1,4,19,"8:44:7","12:5:43"
1,5,63,"6:52:56","6:20:12"
2,1,56,"6:49:27","21:44:36"
2,2,96,"22:38:38","22:18:52"
2,3,97,"11:5:39","13:34:52"
2,4,1,"22:33:17","6:24:54"
2,5,35,"16:47:13","22:35:4"
3,1,52,"7:55:38","18:17:0"
3,2,33,"17:9:33","15:8:0"
3,3,96,"8:17:18","13:29:52"
3,4,36,"18:22:47","19:54:36"
3,5,96,"14:15:2","19:13:27"
4,1,73,"19:3:32","20:7:2"
4,2,67,"18:31:42","15:40:15"
4,3,15,"17:3:25","12:9:0"
4,4,68,"11:29:56","20:45:46"
4,5,84,"12:30:25","16:30:59"
5,1,2,"15:52:25","14:19:3"
5,2,58,"7:7:53","20:16:35"
5,3,17,"22:41:0","8:59:9"
5,4,10,"10:33:20","10:42:43"
5,5,32,"17:19:33","18:21:34"
6,1,15,"6:12:16","12:5:4"
6,2,41,"23:12:0","17:35:54"
6,3,67,"7:13:33","18:47:5"
6,4,33,"17:37:25","5:49:59"
6,5,83,"20:17:31","15:48:19"
7,1,78,"11:2:16","18:17:32"
7,2,60,"10:19:42","19:54:11"
7,3,60,"21:10:6","10:31:36"
7,4,57,"16:19:10","23:10:26"
7,5,68,"5:43:21","9:8:33"
8,1,47,"7:38:53","5:23:29"
8,2,42,"19:57:28","15:6:58"
8,3,58,"22:46:24","6:51:55"
8,4,40,"14:9:51","23:3:32"
8,5,20,"19:56:1","15:3:33"
9,1,37,"19:4:29","23:44:56"
9,2,71,"10:49:36","21:18:35"
9,3,68,"9:13:58","9:37:36"
9,4,13,"9:6:56","21:57:52"
9,5,21,"23:13:24","7:18:30"
10,1,13,"22:25:20","17:27:18"
10,2,71,"23:28:53","20:40:8"
10,3,72,"22:45:57","19:53:56"
10,4,84,"12:31:53","14:55:13"
10,5,60,"17:39:23","19:55:23"
11,1,87,"10:52:22","16:6:58"
11,2,31,"14:5:21","16:40:43"
11,3,91,"6:40:35","15:15:7"
11,4,73,"14:32:15","22:19:12"
11,5,19,"9:13:59","16:15:6"
12,1,47,"10:28:38","15:9:22"
12,2,7,"9:20:2","19:34:35"
12,3,14,"22:27:25","7:46:56"
12,4,58,"16:2:19","17:58:15"
12,5,19,"23:27:25","20:59:24"
13,1,15,"14:21:25","15:41:31"
13,2,10,"11:59:35","16:47:56"
13,3,72,"10:11:2","22:10:32"
13,4,37,"17:33:52","19:45:50"
13,5,95,"7:34:28","9:59:11"
14,1,74,"22:23:20","19:57:26"
14,2,83,"7:36:20","16:39:4"
14,3,24,"19:58:36","10:44:40"
14,4,99,"8:47:15","6:31:19"
14,5,31,"19:13:4","17:52:42"
15,1,68,"18:4:31","14:35:17"
15,2,71,"17:10:0","13:28:25"
15,3,51,"16:25:4","16:21:16"
15,4,85,"21:34:5","17:15:31"
15,5,13,"19:14:21","9:3:30"
16,1,74,"19:3:46","23:6:42"
16,2,44,"6:20:23","15:29:7"
16,3,59,"11:23:34","8:34:11"
16,4,6,"5:42:15","21:19:8"
16,5,38,"20:56:7","14:16:30"
17,1,67,"21:43:13","21:31:26"
17,2,59,"18:9:9","16:16:30"
17,3,72,"5:54:25","13:44:50"
17,4,61,"19:4:33","9:10:28"
17,5,47,"6:57:59","9:36:21"
18,1,57,"19:12:3","6:22:46"
18,2,57,"10:45:49","20:31:45"
18,3,66,"9:3:35","14:26:26"
18,4,76,"11:9:4","15:37:19"
18,5,32,"17:50:30","11:46:35"
19,1,35,"19:57:40","18:59:54"
19,2,92,"5:11:35","12:34:35"
19,3,57,"15:28:29","10:57:7"
19,4,83,"6:44:41","20:1:11"
19,5,29,"19:4:17","8:28:13"
20,1,25,"16:33:5","8:58:17"
20,2,80,"10:46:12","22:53:28"
20,3,14,"20:27:49","12:12:26"
20,4,26,"6:44:15","12:24:28"
20,5,46,"5:46:25","21:56:3"
21,1,73,"19:48:47","22:37:1"
21,2,66,"7:26:34","21:47:25"
21,3,35,"23:21:18","18:29:47"
21,4,42,"17:19:16","8:28:50"
21,5,29,"14:3:32","5:14:57"
22,1,37,"20:26:12","17:44:34"
22,2,47,"8:30:5","10:19:9"
22,3,11,"16:23:39","18:25:35"
22,4,90,"19:9:18","11:8:48"
22,5,74,"11:43:12","5:8:31"
23,1,40,"14:41:10","11:15:34"
23,2,29,"13:37:57","9:59:17"
23,3,25,"11:22:36","10:56:2"
23,4,21,"14:24:59","19:37:4"
23,5,51,"10:30:30","12:3:11"
24,1,32,"11:22:12","23:41:41"
24,2,90,"18:44:37","12:5:36"
24,3,89,"14:52:10","23:42:26"
24,4,92,"11:53:42","13:30:59"
24,5,44,"6:32:43","17:38:33"
25,1,28,"19:19:16","13:10:40"
25,2,60,"10:36:16","6:28:50"
25,3,71,"16:49:11","19:13:29"
25,4,80,"18:47:12","12:43:4"
25,5,59,"22:5:31","8:36:58"
26,1,44,"10:19:5","20:11:30"
26,2,71,"20:56:23","7:3:8"
26,3,44,"23:4:58","13:15:17"
26,4,24,"14:5:30","10:1:4"
26,5,89,"13:2:38","23:48:54"
27,1,25,"18:42:31","23:22:56"
27,2,59,"6:24:24","18:18:16"
27,3,56,"18:29:20","17:29:40"
27,4,75,"11:5:24","12:59:14"
27,5,15,"6:19:32","6:9:13"
28,1,91,"14:23:21","9:45:44"
28,2,73,"14:23:26","21:56:30"
28,3,67,"14:54:33","10:39:7"
28,4,4,"8:2:12","17:3:19"
28,5,38,"12:53:45","13:32:46"
29,1,16,"14:6:37","23:3:23"
29,2,51,"5:4:46","6:45:42"
29,3,52,"8:45:4","17:43:37"
29,4,26,"15:14:3","22:5:19"
29,5,51,"16:52:40","19:40:29"
30,1,42,"5:9:26","10:2:55"
30,2,54,"11:24:55","5:9:51"
30,3,80,"17:31:51","7:41:49"
30,4,31,"15:15:11","14:25:21"
30,5,18,"7:19:22","23:4:19"
31,1,10,"8:32:33","18:1:32"
31,2,83,"12:50:6","10:56:0"
31,3,41,"7:41:45","20:14:0"
31,4,24,"19:48:59","9:51:40"
