"trip_id","route_id","service_id"
1,4,2
2,8,2
3,4,5
4,7,4
5,5,5
6,8,5
7,1,4
8,1,4
9,4,1
10,7,4
11,8,2
12,8,3
13,5,1
14,3,3
15,10,3
16,3,4
17,10,5
18,3,2
19,1,1
20,5,1
21,8,1
22,8,3
23,10,4
24,7,1
25,6,5
26,6,5
27,6,4
28,6,4
29,4,3
30,6,3
31,2,4
32,1,3
33,7,3
34,5,5
35,1,4
36,3,5
37,3,3
38,3,1
39,8,3
40,6,5
41,2,3
42,9,1
43,6,4
44,6,1
45,10,5
46,1,2
47,1,3
48,7,3
49,9,5
50,6,2
51,7,3
52,3,2
53,9,2
54,7,5
55,2,1
56,6,3
57,3,1
58,2,1
59,8,4
60,4,1
61,9,4
62,4,4
63,2,2
64,10,5
65,8,4
66,2,5
67,4,2
68,4,2
69,3,4
70,6,5
71,4,4
72,4,4
73,10,5
74,2,5
75,5,4
76,10,3
77,1,3
78,5,5
79,10,2
80,8,2
81,4,5
82,3,1
83,1,3
84,3,4
85,2,3
86,2,5
87,9,4
88,3,3
89,6,5
90,5,5
91,2,2
92,10,2
93,2,2
94,2,2
95,7,4
96,4,5
97,8,5
98,9,1
99,7,4
100,5,2
101,4,3
102,10,5
103,6,1
104,10,5
105,1,3
106,3,4
107,2,1
108,4,1
109,9,1
110,5,1
111,4,2
112,7,4
113,3,1
114,3,5
115,5,1
116,8,1
117,8,1
118,3,1
119,7,2
120,6,5
121,5,1
122,8,4
123,4,5
124,10,1
125,9,3
126,7,4
127,3,5
128,3,2
129,4,4
130,1,4
131,4,3
132,8,3
133,4,3
134,2,3
135,3,2
136,5,2
137,7,3
138,5,5
139,9,4
140,4,2
141,7,1
142,8,3
143,2,3
144,7,3
145,6,4
146,4,2
147,10,3
148,9,5
149,9,3
150,2,5
151,10,1
152,5,3
153,5,3
154,5,4
155,2,3
156,7,2
157,6,2
158,10,4
159,3,1
160,7,1
161,9,2
162,2,4
163,10,5
164,2,1
165,1,5
166,4,1
167,6,1
168,8,1
169,3,3
170,1,5
171,1,3
172,8,5
173,7,5
174,8,4
175,7,5
176,3,5
177,10,4
178,4,2
179,6,2
180,3,3
181,4,1
182,5,1
183,3,2
184,10,2
185,6,1
186,3,3
187,5,3
188,7,3
189,6,3
190,9,1
191,1,1
192,4,2
193,2,3
194,2,1
195,6,2
196,6,1
197,10,4
198,4,1
199,4,5
200,7,4
201,4,5
202,4,5
203,9,1
204,10,2
205,4,3
206,2,5
207,5,2
208,10,2
209,10,2
210,8,3
211,2,4
212,3,2
213,8,2
214,6,1
215,1,2
216,10,3
217,8,3
218,2,1
219,9,3
220,3,5
221,3,5
222,2,1
223,8,2
224,1,4
225,5,4
226,5,2
227,5,2
228,6,3
229,10,1
230,2,5
231,3,1
232,8,2
233,10,2
234,6,5
235,1,1
236,8,4
237,3,4
238,1,3
239,4,3
240,8,4
241,9,3
242,6,1
243,1,4
244,9,5
245,2,5
246,1,1
247,9,3
248,1,4
249,7,2
250,9,2
251,3,2
252,1,4
253,3,2
254,4,5
255,10,5
256,7,4
257,4,1
258,9,1
259,8,5
260,8,3
261,6,4
262,4,1
263,8,3
264,9,2
265,7,4
266,10,3
267,5,3
268,4,2
269,7,4
270,2,4
271,10,4
272,7,2
273,8,1
274,6,3
275,4,5
276,8,2
277,4,4
278,1,3
279,6,3
280,7,5
281,2,5
282,6,2
283,7,4
284,8,2
285,9,1
286,2,3
287,2,1
288,1,5
289,7,2
290,10,4
291,4,4
292,8,2
293,5,5
294,8,1
295,6,5
296,7,1
297,6,5
298,3,2
299,3,3
300,7,4
301,10,1
302,6,1
303,2,1
304,7,1
305,4,2
306,5,4
307,7,1
308,2,2
309,3,3
310,4,2
311,8,4
312,9,4
313,9,4
314,6,2
315,1,3
316,1,4
317,2,2
318,2,1
319,10,4
320,2,1
321,3,5
322,5,2
323,10,2
324,6,2
325,5,5
326,10,4
327,9,2
328,10,3
329,8,5
330,9,5
331,10,4
332,10,3
333,1,4
334,2,1
335,3,1
336,6,3
337,10,1
338,8,3
339,5,4
340,10,5
341,8,1
342,7,3
343,5,1
344,6,5
345,3,4
346,2,5
347,3,4
348,8,3
349,6,4
350,5,4
351,8,4
352,2,1
353,8,1
354,7,5
355,6,5
356,3,1
357,2,4
358,7,2
359,9,4
360,5,5
361,4,1
362,5,2
363,6,4
364,8,5
365,5,3
366,3,2
367,1,3
368,3,5
369,10,5
370,1,3
371,9,4
372,9,2
373,6,4
374,3,5
375,3,2
376,4,3
377,5,4
378,5,2
379,5,5
380,10,2
381,9,1
382,9,4
383,10,2
384,6,4
385,1,1
386,1,2
387,4,5
388,6,2
389,5,2
390,5,2
391,6,1
392,6,3
393,1,5
394,1,1
395,1,4
396,5,2
397,5,2
398,4,1
399,3,5
400,10,5
401,1,3
402,2,4
403,7,4
404,2,4
405,6,2
406,5,4
407,9,3
408,5,2
409,4,4
410,6,3
411,2,5
412,10,4
413,9,5
414,8,3
415,3,2
416,1,1
417,2,2
418,6,4
419,9,3
420,8,1
421,6,5
422,10,5
423,7,5
424,7,5
425,5,2
426,7,4
427,10,4
428,7,3
429,1,3
430,8,4
431,1,2
432,10,5
433,4,2
434,1,5
435,2,4
436,8,1
437,9,2
438,7,2
439,5,3
440,9,2
441,8,1
442,4,2
443,4,4
444,1,5
445,9,1
446,7,2
447,8,4
448,3,1
449,7,3
450,6,3
451,8,5
452,5,1
453,10,5
454,2,3
455,9,4
456,6,2
457,3,4
458,6,2
459,7,2
460,5,3
461,1,1
462,1,1
463,4,4
464,10,5
465,9,1
466,2,3
467,5,2
468,6,3
469,3,4
470,9,2
471,2,1
472,1,1
473,8,5
474,9,1
475,2,2
476,9,3
477,10,4
478,6,1
479,8,5
480,3,1
481,2,4
482,3,4
483,6,4
484,3,4
485,4,2
486,10,5
487,1,5
488,9,2
489,2,2
490,3,3
491,6,5
492,3,2
493,1,4
494,8,5
495,10,4
496,9,1
497,4,2
498,5,5
499,7,4
500,7,5
501,1,4
502,1,5
503,10,1
504,9,1
505,6,3
506,6,3
507,3,4
508,4,4
509,3,2
510,3,3
511,1,1
512,2,2
513,5,1
514,1,5
515,1,4
516,7,3
517,7,3
518,10,4
519,9,4
520,4,3
521,8,5
522,2,3
523,6,1
524,3,5
525,9,3
526,5,5
527,1,5
528,10,2
529,1,2
530,8,3
531,6,2
532,8,3
533,3,4
534,5,5
535,2,5
536,6,3
537,10,1
538,1,1
539,5,1
540,6,2
541,2,3
542,10,3
543,2,3
544,7,5
545,5,4
546,4,2
547,5,4
548,5,5
549,9,3
550,3,2
551,10,2
552,10,4
553,3,5
554,10,5
555,5,1
556,8,4
557,9,3
558,9,5
559,8,4
560,2,1
561,5,2
562,1,4
563,6,1
564,1,2
565,6,4
566,9,1
567,9,3
568,9,5
569,5,3
570,8,5
571,1,1
572,8,4
573,4,1
574,5,4
575,9,1
576,6,2
577,2,4
578,9,3
579,6,3
580,9,1
581,9,3
582,3,4
583,3,4
584,7,3
585,6,2
586,10,5
587,5,3
588,10,1
589,3,1
590,4,5
591,5,3
592,5,2
593,10,4
594,4,3
595,4,3
596,10,5
597,9,5
598,5,5
599,10,4
600,3,2
601,6,2
602,2,4
603,9,5
604,7,1
605,10,1
606,10,5
607,5,4
608,5,1
609,8,2
610,1,3
611,4,2
612,9,1
613,6,3
614,1,5
615,9,2
616,3,2
617,10,2
618,9,2
619,5,3
620,2,4
621,9,3
622,5,2
623,1,2
624,9,3
625,10,4
626,7,1
627,6,3
628,5,1
629,3,4
630,2,5
631,3,2
632,8,5
633,1,1
634,1,2
635,7,2
636,4,4
637,10,4
638,6,4
639,9,4
640,6,3
641,4,4
642,3,1
643,10,5
644,8,2
645,2,2
646,6,5
647,3,4
648,2,3
649,1,4
650,7,4
651,7,2
652,3,3
653,10,3
654,2,2
655,6,3
656,1,1
657,4,3
658,5,2
659,8,2
660,10,5
661,3,1
662,3,3
663,4,4
664,2,4
665,3,5
666,3,4
667,9,4
668,2,1
669,8,4
670,9,3
671,3,2
672,6,3
