"date","stop_id","entries","exits","hour"
2025-04-02,1,7173,6896,14
2025-04-02,2,2369,4191,17
2025-04-02,3,1008,393,19
2025-04-02,4,355,2473,22
2025-04-02,5,1194,6776,0
2025-04-02,6,6982,7903,12
2025-04-02,7,8647,364,12
2025-04-02,8,8617,639,10
2025-04-02,9,8178,8232,18
2025-04-02,10,6504,1026,12
2025-04-02,11,3317,4085,18
2025-04-02,12,4359,8048,3
2025-04-02,13,8910,6196,20
2025-04-02,14,6860,3522,1
2025-04-02,15,6724,6680,11
2025-04-02,16,2057,2544,9
2025-04-02,17,6617,2805,18
2025-04-02,18,4325,599,23
2025-04-02,19,6908,2841,10
2025-04-02,20,2944,7350,5
2025-04-02,21,6595,897,1
2025-04-02,22,5540,1366,20
2025-04-02,23,3229,8984,9
2025-04-02,24,4203,7840,9
2025-04-02,25,4688,6873,18
2025-04-02,26,1348,6355,9
2025-04-02,27,1110,864,5
2025-04-02,28,7937,2252,20
2025-04-02,29,1771,779,0
2025-04-02,30,8627,8144,12
2025-04-02,31,2805,7250,8
2025-04-02,32,1124,8179,19
2025-04-02,33,6748,3600,5
2025-04-02,34,8640,617,13
2025-04-02,35,6670,2472,6
2025-04-02,36,5531,8125,1
2025-04-02,37,2437,531,0
2025-04-02,38,4932,7089,15
2025-04-02,39,4908,2746,18
2025-04-02,40,2960,5947,0
2025-04-02,41,1172,8046,12
2025-04-02,42,7943,8514,2
2025-04-02,43,3599,2161,5
2025-04-02,44,6135,504,19
2025-04-02,45,4627,4914,15
2025-04-02,46,4580,8981,10
2025-04-02,47,1778,2597,18
2025-04-02,48,2626,4903,16
2025-04-02,49,2676,6282,3
2025-04-02,50,1380,476,14
2025-04-02,51,5044,4719,15
2025-04-02,52,4634,8158,11
2025-04-02,53,4188,1271,16
2025-04-02,54,1886,4669,20
2025-04-02,55,785,642,10
2025-04-02,56,1650,5221,1
2025-04-02,57,5368,8405,16
2025-04-02,58,3332,5965,7
2025-04-02,59,8071,4893,8
2025-04-02,60,3657,6778,4
2025-04-02,61,5982,1834,5
2025-04-02,62,1567,5152,13
2025-04-02,63,8387,3780,9
2025-04-02,64,3801,2472,0
2025-04-02,65,3876,8570,14
2025-04-02,66,1344,5744,12
2025-04-02,67,8140,6507,10
2025-04-02,68,3932,5543,22
2025-04-02,69,7640,7322,17
2025-04-02,70,1492,5017,11
2025-04-02,71,4502,2761,12
2025-04-02,72,8078,4454,11
2025-04-02,73,5460,8322,20
2025-04-02,74,3626,8195,18
2025-04-02,75,2887,3397,4
2025-04-02,76,2667,1013,2
2025-04-02,77,8618,1873,9
2025-04-02,78,2668,2936,15
2025-04-02,79,6635,1736,7
2025-04-02,80,1650,8533,18
2025-04-02,81,4368,8834,4
2025-04-02,82,5811,7354,4
2025-04-02,83,2994,6252,2
2025-04-02,84,8943,8856,12
2025-04-02,85,7753,4430,23
2025-04-02,86,6675,1622,9
2025-04-02,87,7983,4677,17
2025-04-02,88,4289,2708,10
2025-04-02,89,7299,2517,1
2025-04-02,90,8234,368,13
2025-04-02,91,993,2919,21
2025-04-02,92,1253,1599,10
2025-04-02,93,2680,2358,14
2025-04-02,94,343,7688,22
2025-04-02,95,5524,3973,8
2025-04-02,96,3169,946,22
2025-04-02,97,8626,537,9
2025-04-02,98,3044,2800,6
2025-04-02,99,7982,355,15
2025-04-02,100,7754,8044,19
2025-04-03,1,2113,7924,4
2025-04-03,2,2842,1772,16
2025-04-03,3,2866,2460,9
2025-04-03,4,3926,4512,8
2025-04-03,5,4650,2266,17
2025-04-03,6,8798,726,4
2025-04-03,7,2012,8321,6
2025-04-03,8,6730,5412,17
2025-04-03,9,1383,6822,10
2025-04-03,10,7294,4505,3
2025-04-03,11,7859,4317,12
2025-04-03,12,4901,6616,9
2025-04-03,13,4652,5442,5
2025-04-03,14,6630,6897,21
2025-04-03,15,2354,4629,11
2025-04-03,16,8815,2458,18
2025-04-03,17,2909,8725,23
2025-04-03,18,7172,2346,4
2025-04-03,19,7037,1965,18
2025-04-03,20,5803,5622,16
2025-04-03,21,5332,8565,7
2025-04-03,22,6022,4261,18
2025-04-03,23,3981,7906,5
2025-04-03,24,3427,2163,0
2025-04-03,25,5707,5158,7
2025-04-03,26,6354,7374,20
2025-04-03,27,7493,2363,2
2025-04-03,28,2629,8566,0
2025-04-03,29,6088,8097,20
2025-04-03,30,8276,2725,5
2025-04-03,31,2963,4623,13
2025-04-03,32,1568,3314,11
2025-04-03,33,3877,8585,14
2025-04-03,34,1993,6669,7
2025-04-03,35,6733,5720,3
2025-04-03,36,6065,8959,2
2025-04-03,37,5006,2150,18
2025-04-03,38,4720,7865,5
2025-04-03,39,6605,3339,14
2025-04-03,40,7389,1552,11
2025-04-03,41,7070,1399,4
2025-04-03,42,8589,7548,7
2025-04-03,43,5929,6533,18
2025-04-03,44,4551,2898,3
2025-04-03,45,8614,1249,12
2025-04-03,46,2451,8507,2
2025-04-03,47,7648,2555,14
2025-04-03,48,6389,8030,17
2025-04-03,49,2419,6889,3
2025-04-03,50,4562,8652,12
2025-04-03,51,8316,5603,17
2025-04-03,52,1800,7252,13
2025-04-03,53,8235,5971,20
2025-04-03,54,2307,7764,6
2025-04-03,55,8345,5053,9
2025-04-03,56,5716,7529,13
2025-04-03,57,8443,2329,18
2025-04-03,58,5117,7284,18
2025-04-03,59,932,530,12
2025-04-03,60,345,5215,10
2025-04-03,61,5426,5863,10
2025-04-03,62,3752,7619,7
2025-04-03,63,2377,4940,22
2025-04-03,64,6720,8918,8
2025-04-03,65,1792,8707,4
2025-04-03,66,4178,1431,22
2025-04-03,67,8014,3553,23
2025-04-03,68,2658,6677,13
2025-04-03,69,1615,4027,11
2025-04-03,70,7257,7833,12
2025-04-03,71,8177,5194,0
2025-04-03,72,6708,4603,13
2025-04-03,73,5196,3823,3
2025-04-03,74,8167,7448,15
2025-04-03,75,7123,397,15
2025-04-03,76,3126,4030,10
2025-04-03,77,3504,2954,3
2025-04-03,78,7657,688,1
2025-04-03,79,5821,766,11
2025-04-03,80,1701,5565,20
2025-04-03,81,3164,8377,16
2025-04-03,82,3745,4859,6
2025-04-03,83,6645,1376,11
2025-04-03,84,6548,7878,13
2025-04-03,85,3425,2635,8
2025-04-03,86,6544,932,7
2025-04-03,87,1425,5918,17
2025-04-03,88,5928,2207,19
2025-04-03,89,4014,2582,19
2025-04-03,90,8070,2222,15
2025-04-03,91,805,1595,1
2025-04-03,92,3883,4049,17
2025-04-03,93,3548,8268,19
2025-04-03,94,6547,7847,8
2025-04-03,95,6873,2267,22
2025-04-03,96,7665,3469,11
2025-04-03,97,5474,5601,8
