"trip_id","stop_sequence","stop_id","arrival_time","departure_time"
1,1,95,"12:52:57","15:36:42"
1,2,42,"20:18:38","23:40:17"
1,3,29,"6:20:1","16:42:15"
1,4,69,"22:25:5","14:37:27"
1,5,19,"22:41:40","21:28:44"
2,1,25,"17:51:33","8:34:2"
2,2,34,"18:0:54","13:47:1"
2,3,69,"21:54:6","9:57:24"
2,4,76,"12:57:26","10:4:58"
2,5,18,"5:0:15","9:28:43"
3,1,30,"5:4:48","10:13:40"
3,2,78,"7:35:28","12:54:2"
3,3,81,"17:50:8","12:21:19"
3,4,14,"12:16:40","14:1:48"
3,5,32,"23:31:26","14:39:10"
4,1,72,"19:44:44","21:46:11"
4,2,71,"14:39:9","11:52:27"
4,3,18,"13:40:24","9:57:38"
4,4,16,"20:59:52","12:50:59"
4,5,55,"22:40:4","17:15:37"
5,1,41,"22:4:6","20:19:47"
5,2,83,"13:54:1","20:46:25"
5,3,73,"15:22:4","19:46:3"
5,4,91,"20:47:20","8:20:36"
5,5,10,"10:43:53","14:35:4"
6,1,54,"6:50:27","18:45:57"
6,2,51,"10:19:23","6:17:19"
6,3,33,"15:8:42","18:36:1"
6,4,58,"19:7:46","16:11:16"
6,5,27,"15:46:33","13:22:13"
7,1,61,"22:18:36","13:4:30"
7,2,85,"19:9:29","12:12:44"
7,3,7,"5:27:12","14:46:9"
7,4,84,"8:15:58","23:57:23"
7,5,8,"20:55:48","17:50:8"
8,1,11,"21:23:10","5:36:22"
8,2,71,"17:39:27","13:18:12"
8,3,57,"14:22:32","22:25:35"
8,4,93,"10:53:24","15:54:30"
8,5,73,"21:31:53","13:19:46"
9,1,20,"23:2:56","21:45:53"
9,2,50,"6:9:5","10:58:28"
9,3,77,"6:6:31","5:21:56"
9,4,36,"13:52:35","6:3:26"
9,5,16,"5:38:12","18:16:54"
10,1,40,"5:5:44","13:27:59"
10,2,84,"7:3:26","22:1:55"
10,3,33,"17:53:56","21:22:16"
10,4,14,"18:19:29","8:51:5"
10,5,43,"10:47:39","10:9:33"
11,1,36,"18:3:8","23:13:6"
11,2,55,"19:27:42","7:45:33"
11,3,83,"17:1:46","23:21:50"
11,4,41,"14:38:46","19:20:28"
11,5,23,"18:15:48","6:5:27"
12,1,96,"21:6:34","10:11:53"
12,2,15,"16:38:53","15:51:33"
12,3,81,"17:57:12","18:57:56"
12,4,10,"17:18:50","14:34:39"
12,5,51,"8:52:34","10:24:32"
13,1,72,"14:21:22","17:18:19"
13,2,21,"19:32:5","22:14:7"
13,3,61,"14:26:52","13:32:10"
13,4,90,"10:19:33","21:47:28"
13,5,56,"17:38:52","8:54:38"
14,1,62,"17:27:17","10:46:34"
14,2,82,"20:20:50","23:3:13"
14,3,91,"18:46:26","14:10:8"
14,4,86,"14:14:49","13:54:33"
14,5,99,"15:13:49","22:18:32"
15,1,74,"22:21:29","6:30:1"
15,2,80,"23:37:59","23:46:27"
15,3,47,"9:49:3","18:27:51"
15,4,45,"12:35:14","14:55:36"
15,5,43,"8:45:32","14:0:52"
16,1,62,"14:45:15","10:14:17"
16,2,100,"5:1:49","13:55:16"
16,3,82,"15:6:55","13:0:57"
16,4,53,"20:26:32","7:36:45"
16,5,13,"9:46:6","9:41:42"
17,1,78,"20:6:5","15:17:26"
17,2,31,"18:27:5","23:1:59"
17,3,88,"21:32:21","17:59:48"
17,4,84,"20:24:44","16:16:46"
17,5,82,"18:10:44","19:12:44"
18,1,50,"6:33:26","16:38:14"
18,2,21,"10:58:46","20:51:20"
18,3,33,"15:56:13","16:9:44"
18,4,57,"18:41:54","21:19:14"
18,5,88,"22:53:17","8:47:32"
19,1,98,"8:40:24","17:39:1"
19,2,16,"23:12:24","16:41:47"
19,3,17,"15:59:44","22:9:4"
19,4,53,"13:6:13","6:6:37"
19,5,17,"6:28:21","15:53:15"
20,1,96,"19:46:6","8:45:24"
20,2,80,"22:40:30","16:30:44"
20,3,21,"11:31:31","8:17:9"
20,4,54,"18:16:58","16:24:37"
20,5,23,"7:52:36","13:12:13"
21,1,93,"9:6:21","11:50:15"
21,2,47,"15:39:31","13:37:21"
21,3,95,"17:3:29","12:17:49"
21,4,64,"12:58:24","23:8:16"
21,5,18,"16:10:56","7:33:49"
22,1,83,"14:40:39","14:58:8"
22,2,25,"6:57:42","17:48:3"
22,3,97,"13:47:32","16:42:20"
22,4,51,"20:23:44","16:11:43"
22,5,93,"8:50:19","7:15:58"
23,1,18,"8:28:14","22:27:57"
23,2,61,"12:23:29","15:58:46"
23,3,33,"22:24:30","16:57:58"
23,4,98,"22:53:7","12:7:48"
23,5,72,"5:23:8","18:6:11"
24,1,49,"22:46:21","14:32:1"
24,2,36,"18:13:10","11:30:15"
24,3,58,"23:23:44","18:55:31"
24,4,52,"15:59:55","7:28:39"
24,5,89,"12:14:8","17:21:6"
25,1,21,"5:53:57","18:45:10"
25,2,56,"21:56:40","9:22:43"
25,3,26,"16:37:11","11:50:26"
25,4,24,"22:20:27","8:9:53"
25,5,47,"8:31:38","5:30:23"
26,1,88,"15:13:1","16:25:24"
26,2,64,"9:50:39","7:45:2"
26,3,18,"23:43:30","23:58:19"
26,4,14,"17:48:2","12:15:5"
26,5,76,"6:29:3","16:37:59"
27,1,92,"12:47:19","20:42:48"
27,2,4,"9:41:42","20:22:11"
27,3,66,"7:27:20","5:29:27"
27,4,43,"17:36:38","21:23:24"
27,5,1,"15:2:4","12:11:15"
28,1,6,"5:55:41","20:19:55"
28,2,92,"7:16:36","6:28:28"
28,3,17,"23:9:10","18:19:10"
28,4,85,"8:28:40","16:41:30"
28,5,13,"15:14:1","8:39:35"
29,1,58,"5:45:15","11:22:34"
29,2,3,"5:36:51","10:57:57"
29,3,81,"9:18:49","15:43:36"
29,4,63,"18:59:34","11:59:29"
29,5,21,"22:51:8","18:6:27"
30,1,44,"12:34:40","9:15:3"
30,2,8,"11:44:46","23:48:53"
30,3,43,"11:0:25","23:0:8"
30,4,73,"16:36:52","22:45:53"
30,5,1,"17:55:48","6:55:12"
31,1,83,"9:53:51","6:14:8"
31,2,81,"15:26:44","8:18:11"
31,3,90,"7:15:14","22:35:1"
31,4,87,"6:14:0","19:24:28"
31,5,25,"15:18:21","12:27:47"
32,1,5,"8:40:0","17:39:53"
32,2,58,"7:47:40","19:16:59"
32,3,10,"11:50:47","23:40:42"
32,4,58,"5:19:44","6:0:10"
32,5,4,"17:9:35","21:36:44"
33,1,67,"9:9:49","18:34:18"
33,2,75,"9:7:51","20:53:22"
33,3,33,"12:50:1","20:8:51"
33,4,42,"22:59:40","20:10:20"
33,5,32,"17:41:48","7:12:42"
34,1,16,"15:50:52","21:58:50"
34,2,52,"19:45:22","5:59:56"
34,3,55,"20:46:10","21:53:7"
34,4,77,"16:15:14","12:23:23"
34,5,85,"21:48:49","12:9:22"
35,1,92,"19:32:9","16:5:48"
35,2,50,"8:33:27","13:10:13"
35,3,42,"13:32:50","21:19:42"
35,4,52,"17:5:19","15:7:13"
35,5,13,"15:21:14","11:22:20"
36,1,39,"13:58:35","17:0:34"
36,2,32,"22:4:40","19:32:14"
36,3,26,"6:26:57","7:34:8"
36,4,15,"14:31:34","22:6:17"
36,5,14,"18:37:40","23:45:16"
37,1,7,"16:54:33","21:29:31"
37,2,66,"19:21:28","16:46:18"
37,3,46,"9:45:0","11:26:2"
37,4,13,"13:18:20","21:34:50"
37,5,26,"12:39:21","18:33:59"
38,1,3,"11:42:59","6:30:8"
38,2,21,"10:53:13","18:24:39"
38,3,14,"15:20:49","22:56:17"
38,4,60,"15:30:44","16:54:10"
38,5,75,"14:17:33","15:1:11"
39,1,86,"18:37:42","22:12:54"
39,2,34,"18:3:27","14:57:53"
39,3,23,"9:37:4","18:16:32"
39,4,48,"23:48:20","8:37:36"
39,5,100,"8:7:17","12:37:42"
40,1,32,"9:19:20","5:54:2"
40,2,26,"20:54:12","16:27:3"
40,3,19,"9:4:51","6:51:10"
40,4,91,"19:7:40","7:6:45"
40,5,26,"16:49:54","5:4:5"
41,1,74,"22:37:50","9:10:8"
41,2,36,"12:32:49","19:28:54"
41,3,47,"19:16:9","13:49:48"
41,4,14,"23:3:9","22:12:4"
41,5,67,"8:36:25","15:7:50"
42,1,36,"17:0:27","21:24:15"
42,2,87,"8:0:8","15:46:59"
42,3,83,"13:10:37","8:19:13"
42,4,51,"19:19:44","21:33:50"
42,5,17,"6:59:17","14:16:55"
43,1,97,"13:23:27","14:38:50"
43,2,88,"22:4:22","22:12:47"
43,3,18,"9:44:27","11:54:5"
43,4,70,"10:30:16","15:48:45"
43,5,3,"17:51:28","15:39:41"
44,1,100,"19:12:11","18:49:29"
44,2,62,"17:47:48","8:38:36"
44,3,54,"11:42:32","10:28:30"
44,4,14,"6:22:40","19:9:17"
44,5,87,"11:19:3","11:13:10"
45,1,96,"16:33:14","16:0:28"
45,2,10,"9:27:18","10:50:0"
45,3,92,"16:40:59","16:57:35"
45,4,51,"20:45:10","15:57:41"
45,5,84,"13:57:10","8:9:36"
46,1,51,"11:38:39","12:27:48"
46,2,74,"11:50:17","11:31:24"
46,3,88,"16:53:2","6:19:42"
46,4,24,"15:6:57","19:32:12"
46,5,9,"14:12:35","15:23:39"
47,1,86,"11:29:49","7:10:35"
47,2,56,"7:59:25","20:25:55"
47,3,33,"13:58:3","7:11:20"
47,4,50,"14:29:15","7:52:1"
47,5,42,"10:50:57","11:48:42"
48,1,35,"19:15:54","19:51:2"
48,2,24,"18:39:16","23:30:21"
48,3,17,"20:46:23","7:32:22"
48,4,66,"17:20:42","12:35:43"
48,5,83,"18:28:11","10:7:38"
49,1,37,"18:32:46","8:4:44"
49,2,94,"23:44:36","12:51:6"
49,3,78,"23:4:4","11:36:37"
49,4,16,"16:16:32","8:0:13"
49,5,1,"6:44:43","20:18:4"
50,1,48,"14:34:45","13:17:24"
50,2,51,"11:7:48","7:45:46"
50,3,89,"7:54:58","7:56:52"
50,4,21,"10:0:44","23:35:36"
50,5,20,"21:30:21","13:9:42"
51,1,94,"7:19:46","16:12:4"
51,2,73,"18:20:25","8:14:23"
51,3,14,"12:58:14","7:10:48"
51,4,13,"13:30:12","18:17:56"
51,5,77,"13:24:18","16:19:53"
52,1,6,"21:2:22","7:1:48"
52,2,9,"8:17:17","5:52:16"
52,3,22,"11:54:9","22:19:39"
52,4,7,"15:28:51","17:1:23"
52,5,62,"19:26:55","6:52:17"
53,1,48,"15:15:33","9:17:44"
53,2,6,"20:1:5","20:0:42"
53,3,65,"9:1:15","22:39:35"
53,4,9,"12:8:28","16:40:11"
53,5,55,"21:13:25","22:52:46"
54,1,95,"13:22:39","7:53:57"
54,2,10,"23:3:38","23:56:5"
54,3,11,"23:31:5","18:49:3"
54,4,16,"16:32:44","22:38:16"
54,5,78,"5:20:14","15:28:47"
55,1,64,"16:5:43","12:57:33"
55,2,98,"8:58:52","11:54:53"
55,3,36,"19:54:8","15:8:43"
55,4,35,"17:52:47","15:32:13"
55,5,87,"5:9:29","14:38:6"
56,1,24,"22:57:6","15:22:32"
56,2,16,"11:45:21","6:10:19"
56,3,42,"7:4:11","10:39:2"
56,4,63,"5:44:28","13:49:2"
56,5,34,"19:20:29","8:57:35"
57,1,62,"11:35:56","11:14:4"
57,2,81,"7:1:1","11:10:42"
57,3,11,"7:4:11","8:7:50"
57,4,22,"22:26:24","10:27:0"
57,5,91,"10:54:27","13:48:58"
58,1,95,"9:57:25","8:49:33"
58,2,47,"12:44:30","22:59:3"
58,3,85,"5:46:33","18:3:16"
58,4,41,"21:5:18","22:16:9"
58,5,48,"17:0:55","11:41:1"
59,1,83,"10:56:50","12:46:46"
59,2,15,"10:36:45","12:0:6"
59,3,47,"13:13:31","15:4:25"
59,4,31,"20:36:42","7:51:19"
59,5,41,"9:41:47","5:20:53"
60,1,68,"18:36:56","7:11:35"
