"trip_id","route_id","service_id"
1,4,1
2,4,3
3,6,5
4,4,4
5,4,4
6,10,1
7,8,3
8,2,4
9,4,4
10,2,5
11,4,4
12,6,5
13,6,5
14,7,4
15,4,4
16,1,5
17,5,5
18,8,1
19,5,4
20,2,3
21,1,3
22,9,1
23,4,3
24,8,2
25,1,5
26,4,5
27,2,3
28,4,3
29,4,5
30,1,1
31,7,5
32,9,2
33,8,5
34,3,2
35,5,2
36,10,1
37,5,1
38,1,5
39,9,5
40,6,5
41,2,4
42,1,2
43,8,2
44,9,2
45,9,1
46,5,3
47,10,1
48,9,2
49,7,2
50,8,2
51,6,5
52,9,1
53,4,5
54,2,5
55,10,5
56,1,5
57,10,1
58,8,3
59,8,1
60,7,5
61,8,3
62,7,5
63,5,2
64,8,2
65,6,1
66,1,2
67,2,2
68,4,2
69,5,5
70,3,2
71,6,5
72,2,5
73,1,5
74,4,3
75,10,3
76,10,4
77,8,3
78,9,2
79,2,1
80,5,1
81,7,5
82,1,1
83,1,4
84,3,3
85,7,1
86,2,3
87,2,4
88,3,4
89,7,2
90,1,2
91,6,4
92,1,1
93,9,3
94,4,5
95,3,3
96,3,5
97,3,3
98,9,3
99,1,5
100,6,5
101,7,2
102,1,5
103,7,5
104,2,2
105,1,5
106,9,3
107,9,5
108,6,1
109,7,2
110,9,5
111,1,2
112,9,1
113,3,1
114,1,5
115,2,4
116,1,4
117,8,1
118,10,2
119,8,5
120,9,1
121,9,4
122,8,3
123,8,4
124,7,5
125,5,5
126,8,3
127,1,1
128,4,5
129,5,3
130,8,3
131,2,2
132,5,1
133,8,5
134,5,5
135,2,5
136,2,2
137,6,1
138,10,5
139,5,1
140,9,2
141,4,3
142,1,3
143,10,5
144,1,5
145,2,5
146,8,1
147,9,4
148,2,2
149,6,4
150,10,4
151,2,1
152,1,4
153,3,4
154,3,1
155,6,3
156,7,1
157,4,3
158,3,4
159,10,3
160,6,2
161,3,1
162,2,1
163,3,1
164,1,4
165,4,2
166,6,5
167,10,5
168,7,3
169,3,4
170,1,4
171,5,1
172,9,4
173,9,4
174,3,2
175,9,5
176,4,4
177,3,2
178,3,4
179,3,5
180,1,2
181,9,5
182,4,3
183,5,5
184,5,1
185,5,2
186,8,5
187,10,2
188,4,5
189,8,3
190,2,4
191,3,3
192,9,2
193,3,1
194,1,3
195,6,4
196,2,2
197,8,5
198,1,3
199,5,5
200,3,3
201,5,3
202,4,1
203,7,3
204,2,4
205,6,3
206,10,5
207,2,5
208,5,2
209,7,3
210,8,4
211,10,1
212,10,3
213,8,2
214,5,3
215,8,4
216,6,2
217,5,4
218,5,2
219,2,3
220,4,5
221,8,5
222,4,1
223,8,3
224,9,1
225,6,3
226,4,1
227,5,4
228,3,5
229,4,4
230,6,4
231,9,1
232,3,5
233,2,4
234,2,3
235,9,3
236,9,5
237,8,3
238,4,2
239,3,1
240,6,4
241,6,2
242,5,2
243,7,1
244,1,5
245,3,3
246,6,3
247,2,1
248,4,3
249,5,1
250,8,1
251,9,2
252,4,2
253,5,2
254,8,4
255,4,3
256,4,4
257,2,3
258,9,4
259,7,1
260,8,3
261,2,1
262,10,3
263,8,5
264,3,1
265,6,2
266,10,2
267,7,5
268,4,1
269,10,3
270,8,2
271,4,3
272,5,4
273,5,5
274,2,2
275,8,1
276,1,3
277,7,1
278,2,1
279,10,2
280,1,1
281,9,1
282,10,5
283,5,2
284,4,3
285,10,5
286,5,1
287,7,1
288,5,3
289,9,1
290,2,3
291,4,2
292,6,2
293,10,3
294,10,3
295,2,2
296,6,1
297,9,5
298,8,5
299,1,5
300,9,3
301,3,1
302,7,2
303,7,4
304,3,4
305,7,4
306,10,4
307,10,2
308,2,4
309,8,4
310,4,5
311,2,5
312,1,3
313,2,5
314,4,2
315,4,2
316,5,1
317,2,5
318,10,1
319,5,3
320,6,3
321,5,3
322,2,4
323,7,4
324,10,1
325,5,1
326,8,2
327,1,5
328,8,3
329,9,1
330,8,3
331,7,2
332,6,1
333,3,4
334,2,1
335,6,5
336,1,1
337,6,4
338,6,2
339,9,4
340,1,3
341,8,5
342,8,5
